NOME, ENDERECO, CIDADE, UF, CEP, TELEFONE, LATITUDE, LONGITUDE
APS BARRA DO GARÇAS,RUA XV DE NOVEMBRO S/N ESQ/RUA LEONARDO,BARRA DO GARÇAS,MT,,,-15.8900791,-52.2641471
APS CÁCERES,AV. VEREADOR ENEDINO SEBASTIÃO MARTINS,CÁCERES,MT,,,-16.0668723,-57.6799034
"APS CUIABÁ - BATISTA DAS NEVES,""RUA BATISTA DAS NEVES,"",CUIABÁ,MT,,,-15.5934883,-56.0973018"
APS CUIABÁ - COXIPÓ,R PAU BRASIL S/N,CUIABÁ,MT,,,-15.6264519,-56.0525091
"APS CUIABÁ - CPA,""RUA 47, Q 15/16-CPA III-SETOR IV"",CUIABÁ,MT,,,-15.6146583,-56.0562694"
"APS DIAMANTINO,""RUA QUINTINO BOCAIUVA, SN"",DIAMANTINO,MT,,,-14.407977,-56.4489719"
"APS RONDONÓPOLIS,""RUA ARNALDO ESTEVAM DE FIGUEIREDO, 883"",RONDONÓPOLIS,MT,,,-16.4707741,-54.6316117"
"APS TANGARÁ DA SERRA,""AV. TANCREDO DE ALMEIDA NEVES, 87-E"",TANGARÁ DA SERRA,MT,,,-14.6190325,-57.4883952"
APS VÁRZEA GRANDE/MT,AV CASTELO BRANCO S N,VÁRZEA GRANDE,MT,,,-15.6569567,-56.1318512
"APS ÁGUA BOA/MT,""RUA SEIS, 251"",ÁGUA BOA,MT,,,-14.059866,-52.15758599999999"
APS ALTO ARAGUAIA,AV. CARLOS HUGUENEY Nº 622,ALTO ARAGUAIA,MT,,,-17.314241,-53.21575619999999
APS JACIARA,RUA CARIJOS Nº 71,JACIARA,MT,,,-15.9624333,-54.9660653
"APS MIRASSOL DO OESTE,""RUA LEONÓRIO LOURENÇÃO, 1083"",MIRASSOL D'OESTE,MT,,,-15.6779403,-58.1014948"
APS NOVA XAVANTINA,RUA SÃO LUIS Nº 15,NOVA XAVANTINA,MT,,,-14.6671239,-52.3559533
APS PARANATINGA,RUA B1 Nº 212,PARANATINGA,MT,,,,
APS POCONÉ,R PINHEIRO MACHADO S/N BAIRRO BOM PASTOR,POCONÉ,MT,,,,
APS PONTES E LACERDA,RUA TEREZINHA COURA GARBIN Nº 1529,PONTES E LACERDA,MT,,,,
APS POXORÉO,AV BRASILIA S/N-BAIRRO JD DAS AMÉRICAS,POXORÉO,MT,,,,
APS PRIMAVERA DO LESTE,RUA BENJAMIM CERUTTI Nº 212,PRIMAVERA DO LESTE,MT,,,,
APS ROSÁRIO DO OESTE,AVENIDA HUMBERTO CASTELO BRANCO Nº 45,ROSÁRIO DO OESTE,MT,,,,
APS SÃO FÉLIX DO ARAGUAIA,AVENIDA AÇAÍ Nº 634 - JD PINDORAMA,SÃO FÉLIX DO ARAGUAIA,MT,,,,
"APS CONFRESA,""AVENIDA AIRTON SENNA, S/N"",CONFRESA,MT,,,-10.6446949,-51.5668967"
APS BARRA DO BUGRES,AV HITLER SANSAO ESQ R CELSO P BORGUETE,BARRA DO BUGRES,MT,,,-15.069876,-57.1811426
APS CAMPO VERDE,RUA MEDIANEIRA,CAMPO VERDE,MT,,,-15.5482444,-55.1573842
APS SINOP,AV DAS FIGUEIRAS - NR 1357 CENTRO,SINOP,MT,,,-11.8530368,-55.5053583
"APS ALTA FLORESTA,""RUA E1,QUADRA 04, LT 07, Nº 300"",ALTA FLORESTA,MT,,,,"
APS COLÍDER,AV. COLONIZADOR 404 SETOR LESTE,COLÍDER,MT,,,-10.8123852,-55.451726
"APS JUARA,""RUA ANITA GARIBALDE, 93 - LOTE 13"",JUARA,MT,,,-11.2617353,-57.5194612"
"APS JUÍNA,""AV. DOS JAMBOS, 1835"",JUÍNA,MT,,,-11.4201197,-58.76494100000001"
APS SORRISO,AV. ADEMAR RAITER Nº 261,SORRISO,MT,,,-12.545839,-55.7133037
"APS MATUPÁ,""RUA 2, Nº 620"",MATUPÁ,MT,,,-10.1701436,-54.9256046"
APS NOVA MUTUM,AV. ARAPONGAS LT 15 E 16 - QDR 83,NOVA MUTUM,MT,,,-13.8067212,-56.0840659
"APS GUARANTÃ DO NORTE,""AV. GUARANTÃ DO NORTE, Nº 940"",GUARANTÃ DO NORTE,MT,,,-9.9455517,-54.91259480000001"
"APS LUCAS DO RIO VERDE,""RUA PARANAPANEMA QD 71, LT 11"",LUCAS DO RIO VERDE,MT,,,,"
APS PEIXOTO AZEVEDO,RUA LIONS INTERNACIONAL Q 03 LT. 09 S 13,PEIXOTO AZEVEDO,MT,,,-22.9012249,-43.1791747
