nome,endereco,cidade,uf,cep,telefone,latitude,longitude
APS Barra Do Garças,"Rua Xv De Novembro S/N Esq/Rua Leonardo, Centro, Barra Do Garças - Mt",Barra Do Garças,MT,,,-15.8900791,-52.2641471
APS Cáceres,"Av. Vereador Enedino Sebastião Martins, Centro, Cáceres - Mt",Cáceres,MT,,,-16.0668723,-57.6799034
APS Cuiabá - Batista Das Neves,"Rua Batista Das Neves, Centro-Norte, Cuiabá - Mt",Cuiabá,MT,,,-15.5934883,-56.0973018
APS Cuiabá - Coxipó,"Rua Pau Brasil S/N, Jardim Das Palmeiras, Cuiabá - Mt",Cuiabá,MT,,,-15.6264519,-56.0525091
APS Cuiabá - Cpa,"Rua 47, Qd. 15/16-Cpa Iii-Setor Iv, Cpa Iii, Cuiabá - Mt",Cuiabá,MT,,,-15.6146583,-56.0562694
APS Diamantino,"Rua Quintino Bocaiuva, S/N, Centro, Diamantino - Mt",Diamantino,MT,,,-14.407977,-56.4489719
APS Rondonópolis,"Rua Arnaldo Estevam De Figueiredo, 883, Centro, Rondonópolis - Mt",Rondonópolis,MT,,,-16.4707741,-54.6316117
APS Tangará Da Serra,"Av. Tancredo De Almeida Neves, 87-E, Centro, Tangará Da Serra - Mt",Tangará Da Serra,MT,,,-14.6190325,-57.4883952
APS Várzea Grande,"Av. Castelo Branco S N, Centro-Sul, Várzea Grande - Mt",Várzea Grande,MT,,,-15.6569567,-56.1318512
APS Água Boa,"Rua Seis, 251, Centro, Água Boa - Mt",Água Boa,MT,,,-14.059866,-52.15758599999999
APS Alto Araguaia,"Av. Carlos Hugueney Nº 622, Centro, Alto Araguaia - Mt",Alto Araguaia,MT,,,-17.314241,-53.21575619999999
APS Jaciara,"Rua Carijos Nº 71, Centro, Jaciara - Mt",Jaciara,MT,,,-15.9624333,-54.9660653
APS Mirassol Do Oeste,"Rua Leonório Lourenção, 1083, Centro, Mirassol D'Oeste - Mt",Mirassol D'Oeste,MT,,,-15.6779403,-58.1014948
APS Nova Xavantina,"Rua São Luis Nº 15, Centro, Nova Xavantina - Mt",Nova Xavantina,MT,,,-14.6671239,-52.3559533
APS Paranatinga,,Paranatinga,MT,,,,
APS Poconé,,Poconé,MT,,,,
APS Pontes E Lacerda,,Pontes E Lacerda,MT,,,,
APS Poxoréo,,Poxoréo,MT,,,,
APS Primavera Do Leste,,Primavera Do Leste,MT,,,,
